,individual.ID,Run,Species,Ambient_Nutrient,rate.type,E,Eh,lnc,Th,Topt,Estimate term value
1,C10_AD,9,Caul,Ambient,Respiration,0.605975513,3.358427854,3.128175256,318.5816458,314.6873645,41.53736451
2,C10_AL,11,Caul,Ambient,Net Photosynthesis,1.109910562,3.323948437,5.445520088,300.6025785,298.9930647,25.8430647
3,C1_AD,9,Caul,Ambient,Respiration,1.027813873,3.356477104,3.07349033,314.4091461,312.3464538,39.19645379
4,C1_AL,11,Caul,Ambient,Net Photosynthesis,0.524645851,8.019654213,5.228646099,307.2885699,304.6130462,31.46304616
5,C1_ND,10,Caul,Enriched,Respiration,0.650472128,61.86003623,3.463197649,314.5568151,313.9314929,40.78149292
6,C1_NL,12,Caul,Enriched,Net Photosynthesis,0.704940844,7.476922599,4.771576372,306.778019,304.3427457,31.19274566
7,C2_AD,9,Caul,Ambient,Respiration,0.692488144,52.6434344,3.09112807,315.4260943,314.7242355,41.57423547
8,C2_ND,10,Caul,Enriched,Respiration,0.396814338,54.59684567,3.885723572,315.2750548,314.5052959,41.35529595
9,C3_AD,9,Caul,Ambient,Respiration,0.486429558,3.496140395,3.410853253,318.1623118,313.6777491,40.52774913
10,C3_AL,11,Caul,Ambient,Net Photosynthesis,0.537344229,7.049791918,4.582546378,307.0845665,304.2346061,31.08460606
11,C3_NL,12,Caul,Enriched,Net Photosynthesis,0.688989984,7.272238794,4.831520062,306.5017386,304.0088617,30.85886172
12,C4_AL,11,Caul,Ambient,Net Photosynthesis,0.763776705,3.618032286,5.354679973,304.4308188,301.5475148,28.39751475
13,C4_NL,12,Caul,Enriched,Net Photosynthesis,0.928034745,7.985251623,4.847908329,306.5573524,304.512971,31.36297103
14,C5_AD,9,Caul,Ambient,Respiration,0.617085556,53.3223297,3.615654079,315.3707015,314.6572417,41.50724167
15,C5_AL,11,Caul,Ambient,Net Photosynthesis,0.737542828,3.821914069,5.125881977,303.6369045,300.6906291,27.54062912
16,C5_ND,10,Caul,Enriched,Respiration,0.27855599,58.58781698,4.163834051,314.755278,313.9782608,40.82826079
17,C5_NL,12,Caul,Enriched,Net Photosynthesis,0.821333587,7.36303016,5.055625162,306.0109542,303.7529179,30.60291787
18,C6_AD,9,Caul,Ambient,Respiration,0.683657161,3.965502535,3.580116937,316.7372633,313.3528529,40.20285295
19,C6_AL,11,Caul,Ambient,Net Photosynthesis,0.869933858,3.635791309,5.441186806,303.287885,300.7861703,27.63617035
20,C6_NL,12,Caul,Enriched,Net Photosynthesis,0.986719848,7.903776122,4.869995873,306.325365,304.3453505,31.19535046
21,C7_AL,11,Caul,Ambient,Net Photosynthesis,0.965050862,2.624706293,5.069467937,303.3005041,301.6712803,28.52128034
22,C7_NL,12,Caul,Enriched,Net Photosynthesis,0.812174728,6.202572598,4.355214462,306.57842,304.1259548,30.97595484
23,C8_AD,9,Caul,Ambient,Respiration,0.674755734,58.15081332,3.320013446,315.2332526,314.5798753,41.42987534
24,C8_AL,11,Caul,Ambient,Net Photosynthesis,0.724384435,6.778304696,5.091132027,306.5415854,304.0252779,30.87527788
25,C8_NL,12,Caul,Enriched,Net Photosynthesis,0.738779527,7.379492049,4.588125005,306.7887199,304.3932945,31.24329446
